database,id,client_order_id,customer_name,order_details,created_at,source,pending_cloud_sync,synced_to_cloud_at,experiment_id,batch_id,test_case_id,run_id,request_number,phase
edge,11,v41-TC02-1-11-66f7d1ce,V4.1 TC02 Run 1 Customer 11,"V4.1 test order 11 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:37.067,edge,0,2026-08-22T18:39:12.648,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,11,workload
edge,12,v41-TC02-1-12-8aae46fd,V4.1 TC02 Run 1 Customer 12,"V4.1 test order 12 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:37.574,edge,0,2026-08-22T18:39:13.006,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,12,workload
edge,13,v41-TC02-1-13-b76ea03e,V4.1 TC02 Run 1 Customer 13,"V4.1 test order 13 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:37.982,edge,0,2026-08-22T18:39:13.313,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,13,workload
edge,14,v41-TC02-1-14-9d3425c6,V4.1 TC02 Run 1 Customer 14,"V4.1 test order 14 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:38.357,edge,0,2026-08-22T18:39:13.636,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,14,workload
edge,15,v41-TC02-1-15-202738e3,V4.1 TC02 Run 1 Customer 15,"V4.1 test order 15 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:38.822,edge,0,2026-08-22T18:39:13.979,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,15,workload
edge,16,v41-TC02-1-16-fac3921e,V4.1 TC02 Run 1 Customer 16,"V4.1 test order 16 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:39.240,edge,0,2026-08-22T18:39:14.313,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,16,workload
edge,17,v41-TC02-1-17-b96ccce4,V4.1 TC02 Run 1 Customer 17,"V4.1 test order 17 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:39.633,edge,0,2026-08-22T18:39:14.647,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,17,workload
edge,18,v41-TC02-1-18-3732861a,V4.1 TC02 Run 1 Customer 18,"V4.1 test order 18 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:40.043,edge,0,2026-08-22T18:39:14.991,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,18,workload
edge,19,v41-TC02-1-19-68e89750,V4.1 TC02 Run 1 Customer 19,"V4.1 test order 19 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:40.422,edge,0,2026-08-22T18:39:15.370,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,19,workload
edge,20,v41-TC02-1-20-848a7f7b,V4.1 TC02 Run 1 Customer 20,"V4.1 test order 20 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:40.796,edge,0,2026-08-22T18:39:15.681,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,20,workload
edge,21,v41-TC02-1-21-411950a5,V4.1 TC02 Run 1 Customer 21,"V4.1 test order 21 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:41.213,edge,0,2026-08-22T18:39:16.026,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,21,workload
edge,22,v41-TC02-1-22-9a20c5af,V4.1 TC02 Run 1 Customer 22,"V4.1 test order 22 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:41.610,edge,0,2026-08-22T18:39:16.363,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,22,workload
edge,23,v41-TC02-1-23-8f7a5edd,V4.1 TC02 Run 1 Customer 23,"V4.1 test order 23 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:42.018,edge,0,2026-08-22T18:39:16.691,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,23,workload
edge,24,v41-TC02-1-24-9632eefa,V4.1 TC02 Run 1 Customer 24,"V4.1 test order 24 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:42.410,edge,0,2026-08-22T18:39:17.068,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,24,workload
edge,25,v41-TC02-1-25-1be40dd7,V4.1 TC02 Run 1 Customer 25,"V4.1 test order 25 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:42.777,edge,0,2026-08-22T18:39:17.413,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,25,workload
edge,26,v41-TC02-1-26-af058ea9,V4.1 TC02 Run 1 Customer 26,"V4.1 test order 26 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:43.144,edge,0,2026-08-22T18:39:17.757,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,26,workload
edge,27,v41-TC02-1-27-9bc15343,V4.1 TC02 Run 1 Customer 27,"V4.1 test order 27 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:43.501,edge,0,2026-08-22T18:39:18.147,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,27,workload
edge,28,v41-TC02-1-28-6d0fd98b,V4.1 TC02 Run 1 Customer 28,"V4.1 test order 28 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:43.879,edge,0,2026-08-22T18:39:18.458,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,28,workload
edge,29,v41-TC02-1-29-1e538b95,V4.1 TC02 Run 1 Customer 29,"V4.1 test order 29 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:44.266,edge,0,2026-08-22T18:39:18.782,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,29,workload
edge,30,v41-TC02-1-30-fbba9b4e,V4.1 TC02 Run 1 Customer 30,"V4.1 test order 30 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:44.638,edge,0,2026-08-22T18:39:19.126,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,30,workload
edge,31,v41-TC02-2-1-5ac495c2,V4.1 TC02 Run 2 Customer 1,"V4.1 test order 1 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:46.523,edge,0,2026-08-22T18:39:19.494,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,1,workload
edge,32,v41-TC02-2-2-c58208a8,V4.1 TC02 Run 2 Customer 2,"V4.1 test order 2 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:48.915,edge,0,2026-08-22T18:39:19.835,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,2,workload
edge,33,v41-TC02-2-3-504547f3,V4.1 TC02 Run 2 Customer 3,"V4.1 test order 3 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:49.336,edge,0,2026-08-22T18:39:20.207,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,3,workload
edge,34,v41-TC02-2-4-fddad731,V4.1 TC02 Run 2 Customer 4,"V4.1 test order 4 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:49.748,edge,0,2026-08-22T18:39:20.563,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,4,workload
edge,35,v41-TC02-2-5-2666940a,V4.1 TC02 Run 2 Customer 5,"V4.1 test order 5 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:50.155,edge,0,2026-08-22T18:39:20.996,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,5,workload
edge,36,v41-TC02-2-6-13f21a39,V4.1 TC02 Run 2 Customer 6,"V4.1 test order 6 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:50.537,edge,0,2026-08-22T18:39:21.380,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,6,workload
edge,37,v41-TC02-2-7-2496a277,V4.1 TC02 Run 2 Customer 7,"V4.1 test order 7 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:50.911,edge,0,2026-08-22T18:39:21.798,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,7,workload
edge,38,v41-TC02-2-8-6e3b8e83,V4.1 TC02 Run 2 Customer 8,"V4.1 test order 8 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:51.301,edge,0,2026-08-22T18:39:22.164,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,8,workload
edge,39,v41-TC02-2-9-deb45237,V4.1 TC02 Run 2 Customer 9,"V4.1 test order 9 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:51.678,edge,0,2026-08-22T18:39:22.542,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,9,workload
edge,40,v41-TC02-2-10-380f358c,V4.1 TC02 Run 2 Customer 10,"V4.1 test order 10 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:52.043,edge,0,2026-08-22T18:39:22.969,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,10,workload
edge,41,v41-TC02-2-11-59ea859b,V4.1 TC02 Run 2 Customer 11,"V4.1 test order 11 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:52.434,edge,0,2026-08-22T18:39:23.314,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,11,workload
edge,42,v41-TC02-2-12-f12bf356,V4.1 TC02 Run 2 Customer 12,"V4.1 test order 12 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:52.811,edge,0,2026-08-22T18:39:23.738,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,12,workload
edge,43,v41-TC02-2-13-5f46b0b6,V4.1 TC02 Run 2 Customer 13,"V4.1 test order 13 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:53.200,edge,0,2026-08-22T18:39:24.163,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,13,workload
edge,44,v41-TC02-2-14-cd654fb8,V4.1 TC02 Run 2 Customer 14,"V4.1 test order 14 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:53.700,edge,0,2026-08-22T18:39:24.529,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,14,workload
edge,45,v41-TC02-2-15-b3b335e8,V4.1 TC02 Run 2 Customer 15,"V4.1 test order 15 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:54.089,edge,0,2026-08-22T18:39:24.837,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,15,workload
edge,46,v41-TC02-2-16-74dbfa64,V4.1 TC02 Run 2 Customer 16,"V4.1 test order 16 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:54.437,edge,0,2026-08-22T18:39:25.214,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,16,workload
edge,47,v41-TC02-2-17-8ea6d93a,V4.1 TC02 Run 2 Customer 17,"V4.1 test order 17 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:54.812,edge,0,2026-08-22T18:39:25.576,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,17,workload
edge,48,v41-TC02-2-18-344f329e,V4.1 TC02 Run 2 Customer 18,"V4.1 test order 18 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:55.188,edge,0,2026-08-22T18:39:26.032,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,18,workload
edge,49,v41-TC02-2-19-8a0c5837,V4.1 TC02 Run 2 Customer 19,"V4.1 test order 19 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:55.589,edge,0,2026-08-22T18:39:26.479,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,19,workload
edge,50,v41-TC02-2-20-a8ea86f8,V4.1 TC02 Run 2 Customer 20,"V4.1 test order 20 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:56.004,edge,0,2026-08-22T18:39:26.848,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,20,workload
edge,51,v41-TC02-2-21-652279a9,V4.1 TC02 Run 2 Customer 21,"V4.1 test order 21 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:56.411,edge,0,2026-08-22T18:39:27.256,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,21,workload
edge,52,v41-TC02-2-22-12f3791c,V4.1 TC02 Run 2 Customer 22,"V4.1 test order 22 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:56.790,edge,0,2026-08-22T18:39:27.590,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,22,workload
edge,53,v41-TC02-2-23-e94ff8a9,V4.1 TC02 Run 2 Customer 23,"V4.1 test order 23 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:57.155,edge,0,2026-08-22T18:39:28.057,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,23,workload
edge,54,v41-TC02-2-24-0994274c,V4.1 TC02 Run 2 Customer 24,"V4.1 test order 24 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:57.556,edge,0,2026-08-22T18:39:28.370,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,24,workload
edge,55,v41-TC02-2-25-8507243c,V4.1 TC02 Run 2 Customer 25,"V4.1 test order 25 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:57.934,edge,0,2026-08-22T18:39:28.714,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,25,workload
edge,56,v41-TC02-2-26-8da457cf,V4.1 TC02 Run 2 Customer 26,"V4.1 test order 26 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:58.330,edge,0,2026-08-22T18:39:29.089,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,26,workload
edge,57,v41-TC02-2-27-834ff91e,V4.1 TC02 Run 2 Customer 27,"V4.1 test order 27 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:58.739,edge,0,2026-08-22T18:39:29.427,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,27,workload
edge,58,v41-TC02-2-28-84d22eee,V4.1 TC02 Run 2 Customer 28,"V4.1 test order 28 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:59.133,edge,0,2026-08-22T18:39:29.790,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,28,workload
edge,59,v41-TC02-2-29-6ddcdbe7,V4.1 TC02 Run 2 Customer 29,"V4.1 test order 29 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:59.522,edge,0,2026-08-22T18:39:30.181,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,29,workload
edge,60,v41-TC02-2-30-a1b39423,V4.1 TC02 Run 2 Customer 30,"V4.1 test order 30 for cloud_failure_with_stateful_edge_failover, run 2, phase workload",2026-08-22T18:08:59.871,edge,0,2026-08-22T18:39:30.513,TC02-20260822T180846502281-run2-0e5068,TC02-batch-20260822T180830-a18476,TC02,2,30,workload
edge,61,v41-TC02-3-1-e77862f6,V4.1 TC02 Run 3 Customer 1,"V4.1 test order 1 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:01.679,edge,0,2026-08-22T18:39:30.873,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,1,workload
edge,62,v41-TC02-3-2-9d48af42,V4.1 TC02 Run 3 Customer 2,"V4.1 test order 2 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:04.126,edge,0,2026-08-22T18:39:31.380,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,2,workload
edge,63,v41-TC02-3-3-98a8d31d,V4.1 TC02 Run 3 Customer 3,"V4.1 test order 3 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:04.512,edge,0,2026-08-22T18:39:31.760,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,3,workload
edge,64,v41-TC02-3-4-d61d415f,V4.1 TC02 Run 3 Customer 4,"V4.1 test order 4 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:04.878,edge,0,2026-08-22T18:39:32.141,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,4,workload
edge,65,v41-TC02-3-5-3e46c075,V4.1 TC02 Run 3 Customer 5,"V4.1 test order 5 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:05.271,edge,0,2026-08-22T18:39:32.628,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,5,workload
edge,66,v41-TC02-3-6-e0c7f569,V4.1 TC02 Run 3 Customer 6,"V4.1 test order 6 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:05.683,edge,0,2026-08-22T18:39:33.011,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,6,workload
edge,67,v41-TC02-3-7-4919ef3b,V4.1 TC02 Run 3 Customer 7,"V4.1 test order 7 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:06.066,edge,0,2026-08-22T18:39:33.503,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,7,workload
edge,68,v41-TC02-3-8-d64adbdd,V4.1 TC02 Run 3 Customer 8,"V4.1 test order 8 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:06.457,edge,0,2026-08-22T18:39:33.878,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,8,workload
edge,69,v41-TC02-3-9-ff636bdf,V4.1 TC02 Run 3 Customer 9,"V4.1 test order 9 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:06.846,edge,0,2026-08-22T18:39:34.252,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,9,workload
edge,70,v41-TC02-3-10-42c9983d,V4.1 TC02 Run 3 Customer 10,"V4.1 test order 10 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:07.218,edge,0,2026-08-22T18:39:34.676,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,10,workload
edge,71,v41-TC02-3-11-06b181cf,V4.1 TC02 Run 3 Customer 11,"V4.1 test order 11 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:07.601,edge,0,2026-08-22T18:39:35.062,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,11,workload
edge,72,v41-TC02-3-12-b0fc99cb,V4.1 TC02 Run 3 Customer 12,"V4.1 test order 12 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:07.993,edge,0,2026-08-22T18:39:35.426,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,12,workload
edge,73,v41-TC02-3-13-28920eea,V4.1 TC02 Run 3 Customer 13,"V4.1 test order 13 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:08.367,edge,0,2026-08-22T18:39:35.892,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,13,workload
edge,74,v41-TC02-3-14-809d9541,V4.1 TC02 Run 3 Customer 14,"V4.1 test order 14 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:08.745,edge,0,2026-08-22T18:39:36.261,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,14,workload
edge,75,v41-TC02-3-15-ce099e19,V4.1 TC02 Run 3 Customer 15,"V4.1 test order 15 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:09.124,edge,0,2026-08-22T18:39:36.736,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,15,workload
edge,76,v41-TC02-3-16-7d0b692d,V4.1 TC02 Run 3 Customer 16,"V4.1 test order 16 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:09.524,edge,0,2026-08-22T18:39:37.224,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,16,workload
edge,77,v41-TC02-3-17-fbee86bc,V4.1 TC02 Run 3 Customer 17,"V4.1 test order 17 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:09.947,edge,0,2026-08-22T18:39:37.859,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,17,workload
edge,78,v41-TC02-3-18-2f7747ac,V4.1 TC02 Run 3 Customer 18,"V4.1 test order 18 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:10.313,edge,0,2026-08-22T18:39:38.425,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,18,workload
edge,79,v41-TC02-3-19-c355f6b8,V4.1 TC02 Run 3 Customer 19,"V4.1 test order 19 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:10.669,edge,0,2026-08-22T18:39:38.972,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,19,workload
edge,80,v41-TC02-3-20-27ab0cb4,V4.1 TC02 Run 3 Customer 20,"V4.1 test order 20 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:11.025,edge,0,2026-08-22T18:39:39.524,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,20,workload
edge,81,v41-TC02-3-21-aab61dfa,V4.1 TC02 Run 3 Customer 21,"V4.1 test order 21 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:11.389,edge,0,2026-08-22T18:39:40.039,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,21,workload
edge,82,v41-TC02-3-22-e9c32983,V4.1 TC02 Run 3 Customer 22,"V4.1 test order 22 for cloud_failure_with_stateful_edge_failover, run 3, phase workload",2026-08-22T18:09:11.746,edge,0,2026-08-22T18:39:40.457,TC02-20260822T180901658477-run3-df56d9,TC02-batch-20260822T180830-a18476,TC02,3,22,workload
